age,money,salary,financial_products
29,50000000,83600000,23
10,820000000,34200000,424
53,535000000,47600000,286
94,48000000,30800000,293
85,112000000,54200000,265
74,361000000,78400000,6
100,777000000,37700000,257
75,284000000,95300000,151
32,509000000,55300000,414
34,864000000,40400000,106
92,839000000,44400000,273
73,597000000,88400000,299
26,963000000,33000000,466
9,14000000,73900000,472
100,729000000,62600000,326
73,412000000,77100000,83
75,327000000,88700000,47
71,165000000,29100000,418
83,624000000,87100000,296
3,786000000,52400000,69
39,723000000,78900000,342
60,653000000,79500000,133
67,403000000,69600000,232
99,999000000,65500000,367
55,783000000,86600000,444
24,169000000,27600000,402
31,400000000,53900000,7
95,247000000,90300000,439
92,228000000,51100000,217
60,620000000,91600000,159
59,696000000,34400000,145
83,69000000,39000000,310
86,797000000,90700000,438
38,837000000,57200000,337
36,6000000,47900000,44
7,487000000,77700000,475
4,884000000,55500000,17
33,290000000,87000000,416
15,712000000,30700000,178
58,978000000,70400000,365
23,205000000,26000000,112
95,433000000,53200000,315
57,633000000,82300000,15
31,268000000,73900000,108
5,397000000,51700000,268
82,670000000,92400000,126
30,746000000,74300000,470
86,14000000,89300000,267
56,350000000,92800000,228
23,478000000,97800000,168
96,317000000,63500000,66
78,616000000,79000000,412
76,801000000,44600000,324
80,717000000,82200000,190
70,16000000,57700000,1
76,164000000,55100000,4
32,251000000,64900000,324
50,25000000,47500000,13
20,282000000,70400000,239
69,130000000,72400000,2
83,971000000,68800000,50
3,80000000,38000000,417
14,200000000,63300000,54
86,547000000,27600000,185
28,466000000,79700000,135
55,240000000,99600000,149
94,640000000,98200000,19
74,778000000,85900000,331
49,55000000,32900000,63
1,53000000,92000000,463
69,869000000,93100000,330
59,923000000,40000000,324
20,714000000,97700000,100
91,737000000,59600000,415
100,557000000,93700000,72
83,541000000,69600000,244
54,831000000,85400000,9
10,969000000,47300000,455
96,902000000,59500000,139
65,915000000,76400000,389
79,361000000,56200000,459
99,124000000,41700000,239
14,784000000,33400000,372
13,440000000,49500000,310
83,811000000,94800000,256
57,872000000,42800000,471
28,694000000,25300000,437
59,826000000,36100000,122
92,995000000,69000000,437
77,205000000,99700000,230
42,285000000,89300000,474
16,141000000,33300000,53
70,710000000,57800000,23
12,47000000,98600000,6
1,227000000,60500000,426
20,742000000,98600000,102
75,328000000,83600000,2
74,211000000,88700000,373
42,782000000,98000000,342
93,55000000,42700000,287
41,886000000,74000000,333
14,44000000,31000000,375
13,800000000,29600000,221
6,884000000,87600000,451
80,812000000,92100000,316
84,695000000,67800000,293
92,938000000,80200000,376
55,343000000,66000000,174
71,143000000,32900000,408
39,413000000,61500000,24
19,560000000,72500000,129
7,134000000,30700000,356
76,68000000,34000000,205
2,848000000,92800000,137
56,122000000,74700000,212
70,73000000,68600000,380
1,741000000,61900000,177
36,644000000,37800000,379
83,887000000,49500000,64
90,289000000,98800000,408
18,351000000,70300000,211
14,658000000,44100000,280
37,998000000,40600000,379
51,178000000,64700000,201
97,757000000,24400000,468
51,870000000,24500000,386
84,658000000,95900000,302
37,781000000,25500000,304
54,203000000,57600000,454
32,585000000,50400000,199
60,452000000,46100000,70
21,863000000,95000000,38
90,536000000,92400000,458
7,502000000,95600000,170
43,173000000,70000000,262
23,707000000,77400000,364
65,466000000,24100000,23
62,448000000,47900000,159
91,969000000,57700000,96
87,896000000,86600000,251
74,359000000,46800000,447
3,236000000,55300000,47
27,953000000,37500000,396
87,508000000,60600000,160
33,305000000,47000000,171
40,904000000,49700000,38
52,298000000,56700000,334
90,984000000,66400000,476
4,524000000,52700000,137
78,876000000,24500000,68
28,632000000,40300000,268
18,681000000,95500000,115
34,782000000,89900000,256
44,436000000,56100000,466
98,693000000,57600000,205
41,71000000,24500000,108
46,470000000,79400000,140
6,178000000,40800000,280
3,98000000,77500000,461
88,653000000,70600000,281
21,457000000,92700000,408
37,169000000,88000000,380
36,720000000,56500000,425
53,170000000,56600000,33
99,709000000,30400000,427
62,297000000,83800000,67
21,229000000,79300000,199
49,191000000,25700000,312
26,469000000,63000000,326
30,68000000,71800000,161
46,758000000,71300000,16
27,395000000,44800000,395
93,802000000,81400000,350
40,146000000,85300000,453
45,590000000,87700000,233
47,946000000,86300000,364
9,299000000,83600000,248
56,622000000,71800000,71
51,159000000,80300000,423
51,123000000,35000000,363
8,914000000,27200000,40
58,844000000,67000000,79
16,446000000,88400000,103
91,596000000,98100000,141
91,701000000,71400000,392
42,581000000,32300000,92
40,494000000,48000000,424
15,609000000,85200000,222
19,974000000,39500000,467
28,398000000,60500000,105
39,416000000,78900000,9
20,854000000,52900000,299
4,756000000,96600000,396
67,460000000,92600000,70
21,88000000,42000000,161
17,931000000,48500000,329
59,584000000,69300000,164
39,149000000,62100000,15
21,589000000,26000000,450
44,223000000,32600000,106
73,666000000,62900000,201
38,856000000,79000000,369
47,969000000,27800000,325
24,996000000,38400000,138
51,603000000,37400000,341
10,325000000,96100000,256
99,177000000,65800000,470
38,951000000,42900000,246
88,552000000,75600000,53
95,140000000,64300000,90
71,161000000,82800000,288
17,977000000,54600000,382
93,543000000,46400000,267
59,30000000,83600000,124
5,822000000,77000000,288
99,119000000,78900000,23
80,964000000,46500000,171
32,35000000,71500000,427
72,508000000,24300000,255
54,708000000,44600000,458
52,521000000,26000000,15
96,8000000,37500000,142
54,193000000,58600000,31
72,194000000,82100000,456
62,397000000,92000000,40
86,282000000,88800000,158
2,452000000,40000000,428
80,203000000,30900000,7
55,685000000,68400000,139
50,606000000,94700000,36
61,695000000,34200000,191
82,659000000,99800000,453
98,876000000,99000000,322
66,484000000,95900000,205
27,299000000,26600000,71
57,298000000,25200000,16
93,191000000,69500000,130
11,998000000,52000000,243
84,492000000,81400000,464
16,437000000,32300000,305
27,632000000,95800000,369
56,702000000,72200000,310
32,725000000,31500000,412
45,552000000,81800000,92
40,616000000,47700000,248
4,572000000,63000000,391
94,113000000,59400000,353
80,144000000,71400000,409
100,95000000,47500000,34
69,852000000,29300000,280
37,129000000,84800000,346
100,290000000,26300000,282
36,337000000,64800000,348
85,315000000,29300000,203
93,312000000,35500000,433
83,464000000,65500000,379
20,420000000,95400000,70
24,694000000,51900000,4
81,151000000,58200000,290
52,495000000,98200000,422
21,26000000,44100000,437
55,683000000,93600000,323
49,409000000,42200000,447
88,977000000,87800000,34
2,346000000,39000000,9
11,813000000,58700000,78
99,440000000,56800000,458
65,832000000,55900000,180
89,637000000,42300000,19
19,543000000,36700000,311
25,491000000,88800000,465
62,53000000,38600000,412
12,862000000,93800000,263
28,724000000,24900000,354
97,635000000,66400000,464
98,273000000,47200000,182
87,933000000,67500000,42
48,77000000,50300000,258
39,656000000,62400000,307
98,801000000,49500000,175
65,786000000,66200000,275
52,167000000,81600000,284
50,592000000,73900000,74
16,226000000,80900000,188
97,88000000,94500000,462
93,600000000,54100000,226
27,924000000,33900000,458
14,835000000,67200000,235
37,466000000,71800000,193
76,915000000,62100000,114
20,985000000,31000000,457
3,813000000,86000000,208
29,37000000,60100000,267
38,876000000,92400000,232
39,708000000,25400000,270
18,804000000,92300000,26
87,571000000,71300000,290
67,163000000,79700000,194
34,697000000,94700000,451
43,889000000,41200000,255
78,172000000,36300000,336
36,964000000,25900000,105
94,661000000,57900000,275
17,530000000,74500000,347
100,134000000,37000000,170
29,6000000,66100000,172
84,624000000,48200000,423
10,439000000,29900000,239
27,923000000,93600000,406
60,523000000,62600000,398
56,758000000,82100000,415
29,716000000,34600000,95
94,5000000,31000000,183
78,955000000,62700000,461
4,315000000,28200000,110
7,362000000,40500000,112
25,267000000,64400000,216
48,751000000,66100000,280
70,909000000,91200000,76
10,569000000,44800000,165
33,975000000,49100000,358
71,292000000,34400000,462
15,354000000,93100000,249
71,138000000,38400000,95
73,441000000,91100000,286
32,927000000,91100000,151
94,235000000,66900000,423
1,276000000,57300000,104
87,632000000,38400000,346
35,745000000,53900000,472
20,492000000,36000000,220
9,613000000,83000000,318
88,189000000,59700000,95
89,556000000,42900000,244
35,582000000,52900000,415
47,323000000,88200000,37
87,467000000,67800000,447
27,297000000,28000000,95
1,369000000,94400000,243
64,790000000,25800000,82
87,788000000,39100000,63
5,99000000,24400000,332
80,402000000,74400000,211
37,989000000,68200000,190
24,757000000,65000000,334
55,688000000,64900000,462
53,931000000,44400000,314
96,184000000,52200000,453
100,56000000,58800000,410
76,750000000,61600000,153
20,311000000,44100000,62
71,74000000,76800000,366
83,785000000,85300000,236
19,811000000,38100000,375
1,413000000,70000000,327
100,625000000,92200000,235
36,801000000,97300000,437
31,201000000,52800000,45
41,233000000,78300000,325
61,127000000,87300000,221
15,398000000,57900000,420
20,92000000,33500000,227
82,456000000,89100000,22
1,829000000,68600000,302
7,550000000,79200000,285
43,438000000,84800000,108
5,360000000,31500000,310
68,2000000,34200000,39
95,747000000,28500000,109
21,631000000,71400000,248
27,114000000,84900000,384
60,698000000,85900000,257
100,791000000,41700000,223
36,836000000,61000000,295
33,220000000,44400000,453
9,434000000,68700000,200
60,278000000,68500000,465
38,661000000,48600000,406
94,251000000,73300000,248
43,31000000,66600000,222
41,835000000,75100000,335
69,544000000,81700000,173
17,303000000,84100000,360
21,659000000,52500000,28
97,924000000,26600000,469
32,56000000,99000000,253
36,989000000,70200000,461
93,62000000,91100000,6
91,568000000,55700000,375
100,987000000,53400000,470
26,490000000,71600000,18
77,806000000,73300000,78
21,900000000,48900000,97
90,649000000,75700000,213
42,118000000,48600000,425
89,50000000,91400000,132
52,177000000,74900000,444
52,630000000,41000000,109
11,200000000,64500000,386
33,836000000,82200000,446
52,946000000,87500000,106
26,140000000,77300000,87
40,8000000,91200000,211
44,988000000,48300000,384
86,808000000,69300000,195
54,379000000,35100000,455
17,870000000,76100000,189
57,54000000,49300000,360
2,431000000,32600000,417
25,179000000,36700000,341
25,705000000,67300000,451
20,977000000,87900000,345
23,857000000,91500000,186
77,722000000,58100000,48
82,562000000,92300000,289
43,698000000,48800000,346
97,926000000,42600000,54
46,885000000,60800000,132
97,337000000,59700000,434
64,565000000,75500000,421
99,875000000,39700000,7
36,93000000,66400000,296
74,36000000,86000000,135
26,789000000,63700000,44
19,124000000,57600000,157
3,140000000,83900000,415
64,683000000,89500000,136
70,345000000,47800000,285
21,909000000,33100000,316
73,967000000,36600000,354
73,288000000,88000000,185
57,229000000,86500000,303
78,72000000,85800000,461
43,886000000,83400000,19
79,540000000,85400000,335
60,143000000,53100000,436
23,79000000,27400000,195
64,227000000,37200000,27
28,106000000,78000000,423
24,287000000,24000000,5
62,368000000,62500000,292
13,695000000,93600000,442
37,698000000,91500000,287
85,816000000,54000000,398
37,75000000,62500000,72
86,278000000,42200000,177
91,342000000,58500000,337
37,229000000,89200000,288
67,630000000,28400000,457
54,793000000,66900000,328
15,502000000,33100000,123
66,75000000,51700000,419
1,145000000,77900000,381
73,838000000,73600000,126
96,152000000,38100000,414
70,7000000,74100000,278
44,642000000,79700000,96
94,436000000,41000000,202
65,62000000,55200000,190
32,693000000,81100000,134
58,802000000,67400000,383
52,213000000,33200000,249
35,698000000,69800000,50
66,149000000,85400000,70
42,508000000,76600000,352
26,233000000,60000000,238
84,955000000,84200000,436
26,843000000,91200000,366
41,970000000,88100000,474
94,953000000,77300000,460
33,287000000,54700000,457
55,780000000,30000000,21
15,913000000,29100000,265
21,225000000,91400000,14
26,474000000,25200000,125
37,733000000,80600000,434
83,13000000,98500000,270
67,969000000,30400000,411
71,220000000,32600000,304
42,340000000,75100000,212
64,786000000,31000000,153
85,774000000,98100000,418
50,360000000,71800000,285
55,65000000,26800000,51
13,769000000,39600000,270
8,989000000,98200000,63
70,409000000,67200000,239
63,710000000,37100000,15
69,951000000,44100000,328
28,535000000,36700000,208
49,591000000,71700000,167
79,248000000,43900000,394
20,963000000,64900000,248
71,660000000,95200000,449
19,551000000,42300000,369
31,443000000,54200000,192
97,447000000,39000000,177
29,749000000,38800000,146
87,342000000,91400000,416
81,662000000,80700000,33
40,946000000,83000000,40
59,818000000,73000000,418
63,453000000,81800000,84
40,469000000,83700000,182
21,496000000,76100000,353
72,126000000,25200000,192
19,164000000,62600000,306
49,725000000,84100000,314
10,779000000,50600000,268
22,54000000,77700000,216
25,945000000,79800000,349
99,875000000,89800000,430
34,844000000,33800000,114
4,578000000,86000000,100
46,932000000,50900000,134
55,275000000,92500000,233
37,75000000,34500000,307
45,328000000,49300000,305
62,969000000,80800000,85
41,834000000,52800000,112
73,507000000,36500000,15
56,564000000,99500000,410
24,72000000,74800000,206
86,611000000,40900000,465
68,964000000,88700000,397
7,175000000,82600000,355
92,395000000,91300000,388
77,720000000,51100000,54
91,943000000,91100000,171
93,750000000,57300000,77
97,162000000,73500000,97
77,729000000,25600000,471
87,562000000,42400000,53
38,914000000,29400000,267
100,169000000,43600000,342
63,176000000,95100000,390
84,213000000,88400000,464
90,520000000,65500000,181
96,263000000,62300000,394
13,551000000,56000000,68
6,518000000,54000000,365
96,816000000,65100000,55
21,766000000,37000000,313
91,394000000,78300000,158
33,675000000,24800000,270
8,660000000,48000000,404
69,50000000,80200000,268
18,297000000,73600000,174
98,635000000,52100000,278
1,183000000,67100000,299
9,863000000,32900000,395
39,969000000,56600000,5
99,165000000,65600000,96
93,345000000,34200000,20
100,945000000,62200000,263
67,698000000,99800000,338
61,649000000,44500000,447
60,420000000,78900000,233
86,762000000,69500000,81
71,388000000,69400000,42
36,537000000,89400000,338
71,277000000,30000000,298
37,834000000,62300000,287
23,133000000,41800000,456
60,665000000,51400000,208
57,142000000,59100000,449
100,533000000,58200000,19
52,502000000,31300000,221
19,896000000,31500000,238
19,562000000,98800000,227
62,181000000,92500000,170
38,111000000,71700000,188
49,779000000,36500000,241
96,504000000,84200000,188
75,503000000,88200000,243
28,931000000,82100000,240
81,451000000,40400000,384
54,453000000,50300000,418
81,162000000,78400000,429
95,222000000,41600000,189
91,877000000,56400000,184
85,520000000,56100000,421
50,208000000,69800000,102
87,351000000,93300000,425
50,78000000,86800000,461
95,252000000,99800000,467
52,162000000,90600000,123
25,458000000,52800000,473
94,122000000,79400000,341
38,18000000,66000000,51
45,171000000,85900000,272
88,843000000,26900000,372
25,686000000,58300000,313
86,578000000,99700000,107
90,278000000,75000000,31
24,321000000,60100000,44
15,707000000,27700000,167
90,331000000,77500000,476
11,788000000,30100000,398
61,856000000,42900000,413
45,342000000,96700000,321
16,551000000,36800000,331
15,434000000,76700000,57
30,899000000,39500000,142
8,170000000,89800000,86
65,665000000,33000000,21
47,51000000,65600000,457
93,785000000,97500000,275
14,400000000,49300000,87
71,794000000,58400000,447
61,886000000,87700000,21
32,620000000,54800000,198
89,798000000,83100000,189
29,636000000,68700000,276
59,537000000,70100000,193
84,105000000,75800000,219
89,840000000,98600000,397
77,27000000,74600000,364
6,205000000,75400000,171
73,159000000,93700000,260
66,386000000,54100000,426
7,6000000,62400000,79
79,771000000,85300000,179
20,352000000,38400000,109
59,216000000,93500000,66
45,182000000,24600000,443
97,603000000,60500000,425
70,803000000,99300000,97
40,378000000,85200000,355
54,678000000,82500000,248
70,533000000,70500000,454
70,271000000,30800000,358
84,98000000,31400000,9
40,710000000,82700000,156
94,198000000,50100000,21
4,183000000,96300000,63
8,230000000,79900000,348
49,484000000,58600000,241
89,224000000,42800000,376
19,938000000,52000000,342
24,497000000,90600000,346
46,790000000,88700000,436
85,150000000,48900000,318
67,912000000,31800000,274
66,869000000,78000000,295
31,831000000,36500000,425
60,274000000,53200000,174
75,559000000,52100000,82
28,396000000,55300000,177
65,529000000,70100000,161
84,691000000,61000000,227
16,505000000,93100000,26
66,425000000,28600000,407
23,286000000,81100000,93
37,905000000,34900000,356
83,440000000,30600000,313
32,595000000,58300000,97
53,625000000,34800000,391
88,910000000,33300000,311
14,980000000,42100000,177
9,350000000,43500000,1
21,505000000,34500000,346
2,604000000,40200000,422
22,203000000,91600000,106
5,990000000,36300000,234
2,501000000,43600000,267
6,968000000,74400000,449
30,11000000,87900000,145
62,0,51100000,236
26,883000000,50700000,296
15,783000000,94700000,88
14,695000000,30100000,229
81,998000000,86000000,128
51,832000000,41900000,231
33,451000000,45900000,326
57,366000000,82100000,210
60,501000000,94200000,103
23,656000000,35800000,340
59,34000000,76500000,416
73,368000000,63000000,307
62,526000000,81900000,296
6,89000000,37000000,350
80,437000000,91500000,261
3,178000000,58200000,167
48,807000000,56300000,207
60,427000000,76800000,87
23,543000000,89600000,253
50,222000000,83500000,80
67,353000000,43800000,30
72,939000000,56000000,80
89,911000000,48900000,339
23,802000000,65000000,110
20,620000000,53200000,363
41,324000000,24700000,470
74,692000000,41000000,71
79,71000000,68800000,412
100,772000000,45500000,446
69,512000000,62500000,421
94,670000000,26800000,255
32,356000000,82300000,367
48,340000000,94200000,184
21,514000000,60500000,206
80,97000000,81800000,168
78,829000000,79100000,209
38,148000000,66700000,219
48,111000000,24500000,83
64,260000000,68600000,51
33,371000000,90600000,271
81,704000000,52000000,174
1,595000000,99000000,395
39,989000000,46400000,125
29,66000000,80000000,403
11,258000000,26200000,295
51,761000000,63000000,11
38,177000000,26500000,423
71,84000000,92600000,332
63,963000000,78800000,238
80,968000000,24300000,328
48,110000000,35700000,321
74,595000000,51300000,417
13,192000000,69200000,316
82,64000000,39800000,417
54,845000000,49500000,456
76,618000000,25200000,350
19,237000000,42000000,234
8,756000000,68600000,457
1,920000000,36500000,399
88,938000000,58800000,79
28,214000000,89900000,264
78,375000000,79200000,456
67,921000000,24200000,343
47,840000000,63400000,430
37,490000000,41500000,204
41,915000000,75000000,158
30,302000000,53800000,72
84,572000000,92600000,204
68,942000000,60800000,331
80,526000000,89000000,276
54,422000000,53500000,280
81,156000000,56800000,204
20,731000000,67700000,391
57,288000000,66100000,98
40,474000000,83900000,324
99,460000000,85600000,170
74,882000000,83800000,44
86,297000000,65300000,158
84,887000000,70200000,462
64,853000000,42400000,82
43,873000000,50000000,92
5,401000000,79700000,45
100,413000000,39500000,318
69,188000000,55100000,72
78,538000000,45500000,383
83,512000000,54700000,464
33,979000000,58000000,64
73,139000000,91700000,238
34,826000000,84400000,203
30,162000000,50800000,200
27,305000000,94900000,197
41,925000000,59600000,121
64,293000000,73800000,294
39,418000000,36200000,401
52,177000000,77600000,113
46,636000000,45500000,466
64,43000000,62400000,301
17,573000000,72300000,219
36,126000000,49800000,390
48,275000000,60500000,214
87,65000000,57200000,217
24,685000000,80300000,4
83,613000000,44800000,473
29,349000000,82100000,345
53,917000000,68100000,370
92,358000000,29400000,412
10,761000000,52000000,398
32,611000000,28400000,388
82,827000000,50300000,268
39,340000000,56000000,308
37,10000000,83600000,335
52,845000000,82100000,371
66,780000000,78000000,370
61,299000000,92600000,237
51,801000000,42800000,475
29,883000000,68900000,16
74,775000000,38000000,141
18,88000000,78000000,195
53,854000000,35600000,111
99,643000000,93800000,277
18,37000000,64900000,427
74,559000000,34700000,446
80,200000000,53300000,359
39,668000000,62900000,321
22,926000000,97200000,258
52,546000000,45300000,210
65,846000000,83400000,272
17,946000000,83600000,411
18,681000000,79800000,271
11,485000000,77200000,52
73,335000000,31400000,425
57,479000000,72700000,3
60,489000000,66400000,39
58,246000000,86100000,168
52,626000000,99900000,449
49,623000000,29800000,429
16,432000000,77600000,291
83,945000000,48900000,426
58,709000000,63100000,170
77,988000000,33700000,291
97,944000000,25200000,168
75,981000000,90800000,461
40,303000000,92700000,422
46,575000000,58300000,406
38,1000000,76500000,137
36,914000000,80500000,353
54,719000000,49100000,376
29,350000000,81000000,447
33,356000000,36100000,115
20,263000000,80400000,58
3,884000000,26700000,323
21,54000000,45500000,414
95,912000000,94600000,46
59,358000000,82000000,258
85,117000000,68500000,453
98,111000000,63200000,103
24,240000000,64100000,131
9,528000000,84000000,13
69,408000000,42700000,62
33,0,62800000,94
